timestamp,tot len fwd pkts,total forward packets,syn flag count,ack flag count,rst flag count,ttl,init_win_bytes_forward,packet length,flow iat mean,destination port
1720000000,820,12,1,11,0,64,64240,68,210,443
1720000001,910,14,1,13,0,64,64240,65,195,443
1720000002,760,11,0,11,0,63,64240,69,230,53
1720000003,1040,15,1,14,0,64,64240,72,180,80
1720000004,880,13,1,12,0,64,64240,67,205,443
1720000005,960,15,2,13,0,64,64240,64,190,445
1720000006,1220,18,4,14,0,61,5840,77,165,445
1720000007,1480,22,7,15,1,59,4096,82,130,445
1720000008,1690,26,10,15,1,58,4096,91,115,445
1720000009,1810,29,13,14,2,57,2048,103,98,445
1720000010,2220,35,17,16,3,55,2048,122,80,445
1720000011,2590,41,20,18,3,54,1024,138,65,445
1720000012,3020,49,24,19,4,52,1024,155,52,445
1720000013,3540,56,28,20,5,51,512,172,41,445
1720000014,4110,65,33,21,5,49,512,195,33,445
1720000015,4860,76,39,22,6,47,256,220,27,445
